mep,epid,country,group,dossier,lobbyists,title,committees,location,role,date
Andrus ANSIP,124696,Estonia,RE,,"Kazuo Kodama, Akihiko Sunami",Meeting with the Ambassador of the Mission of Japan to the European Union,,Brusssels,Member,04/02/2020
Andrus ANSIP,124696,Estonia,RE,,Iacob Gammeltoft,Meeting with News Media Europe,,Brussels,Member,03/02/2020
Andrus ANSIP,124696,Estonia,RE,,"Jeffrey He, Mathias van Malderghem-Nagy",Meeting with Hikvision,,Brussels,Member,28/01/2020
Andrus ANSIP,124696,Estonia,RE,,Cameron Kerry,Meeting with The Brookings Institution,,Brussels,Member,28/01/2020
Andrus ANSIP,124696,Estonia,RE,,John Higgins,Meeting with BCS,,Brussels,Member,23/01/2020
Andrus ANSIP,124696,Estonia,RE,,"Kati Ruohomäki, Karoliina Rasi, Petri Vuorio",Meeting with Confederation of Finnish Industries EK,,Strasbourg,Member,18/12/2019
Andrus ANSIP,124696,Estonia,RE,,"Neil McMillan, Christian Verschueren",Meeting with EuroCommerce and Amazon,,Strasbourg,Member,17/12/2019
Andrus ANSIP,124696,Estonia,RE,,"Liia Hänni, Jelizaveta Krenjova-Cepilova",Meeting with e-riigi Akadeemia,,Brussels,Member,09/12/2019
Andrus ANSIP,124696,Estonia,RE,,"Rene Summer, Larisa Pircalabelu",Meeting with Ericsson,,Brussels,Member,09/12/2019
Andrus ANSIP,124696,Estonia,RE,,"Christian Guttmann, Petja Piilola",Meeting with Tieto Corporation and Public Affairs,,Brussels,Member,03/12/2019
Andrus ANSIP,124696,Estonia,RE,,"Edward Haynes (AmCham EU), Aliki Foinikopoulou (Salesforce), Cate Nymann (Cisco), Claudia Selli (AT&T)",Meeting with AmCham,,Strasbourg,Member,27/11/2019
Andrus ANSIP,124696,Estonia,RE,,"Claire Broussaudier, Jean Paul Forceville",Meeting with La Poste,,Strasbourg,Member,26/11/2019
Andrus ANSIP,124696,Estonia,RE,,Kadri Kalle,Meeting with Teeme Ära SA,,Brussels,Member,13/11/2019
