name,id,voted,votes,percent,active
"Louis ALIOT",30190,4288,5655,75.83,False
"Roger HELMER",4516,4271,5655,75.53,False
"Raymond FINCH",124941,7337,9746,75.28,True
"Laurenţiu REBEGA",124792,7331,9746,75.22,True
"Goffredo Maria BETTINI",124819,7329,9746,75.20,True
"Liadh NÍ RIADA",124987,7329,9746,75.20,True
"Verónica LOPE FONTAGNÉ",96765,7327,9746,75.18,True
"Bill ETHERIDGE",124951,7304,9746,74.94,True
"David CAMPBELL BANNERMAN",96912,7297,9746,74.87,True
"Marina ALBIOL GUZMÁN",125048,7294,9746,74.84,True
"Mircea DIACONU",124805,7294,9746,74.84,True
"Syed KAMALL",33569,7292,9746,74.82,True
"Angelo CIOCCA",183793,4443,5941,74.79,True
"Marine LE PEN",28210,4118,5507,74.78,False
"Florian PHILIPPOT",110977,7284,9746,74.74,True
"Alexander Graf LAMBSDORFF",28242,4374,5861,74.63,False
"Ian HUDGHTON",2338,7273,9746,74.63,True
"Sotirios ZARIANOPOULOS",125090,7260,9746,74.49,True
"Raffaele FITTO",4465,7247,9746,74.36,True
"Alyn SMITH",28508,7201,9746,73.89,True
"Janice ATKINSON",124938,7184,9746,73.71,True
"Michael THEURER",96871,4318,5861,73.67,False
"Ramona Nicole MĂNESCU",39717,7164,9746,73.51,True
"Georgios KATROUGKALOS",125062,183,249,73.49,False
"Catherine STIHLER",4545,7138,9746,73.24,True
"Steven WOOLFE",124966,7137,9746,73.23,True
"Miloslav RANSDORF",23706,1842,2516,73.21,False
"Iveta GRIGULE-PĒTERSE",124745,7134,9746,73.20,True
"Enrico GASBARRA",124817,7132,9746,73.18,True
"Margot PARKER",124945,7101,9746,72.86,True
"Jill SEYMOUR",124950,7098,9746,72.83,True
"Jens ROHDE",96710,7050,9746,72.34,True
"Ángela VALLINA",125050,7037,9746,72.20,True
"Ulla TØRNÆS",124880,1932,2677,72.17,False
"Curzio MALTESE",125192,7022,9746,72.05,True
"Marie-Pierre VIEU",188721,3053,4239,72.02,True
"Gerard BATTEN",28497,7018,9746,72.01,True
"Santiago FISAS AYXELÀ",96729,6990,9746,71.72,True
"Viorica DĂNCILĂ",95281,4650,6521,71.31,False
"Morten MESSERSCHMIDT",96663,6929,9746,71.10,True
"Dawid Bohdan JACKIEWICZ",124882,1458,2058,70.85,False
"Martin SONNEBORN",124834,6888,9746,70.68,True
"Sajjad KARIM",28481,6874,9746,70.53,True
"Anneliese DODDS",124969,3840,5447,70.50,False
"Artis PABRIKS",124743,6861,9746,70.40,True
"Ivica TOLIĆ",185340,3963,5632,70.37,True
"Stanisław ŻÓŁTEK",124902,6848,9746,70.26,True
"Jane COLLINS",124955,6828,9746,70.06,True
"Sander LOONES",128717,6824,9746,70.02,True
"Roberts ZĪLE",28615,6810,9746,69.87,True
"Emma McCLARKIN",96919,6800,9746,69.77,True
"András GYÜRK",23816,6784,9746,69.61,True
"Cătălin Sorin IVAN",96857,6748,9746,69.24,True
"Viktor USPASKICH",96698,6722,9746,68.97,True
"Tim AKER",99650,6694,9746,68.68,True
"Cristian-Silviu BUŞOI",38420,6693,9746,68.67,True
"Estefanía TORRES MARTÍNEZ",131749,6385,9303,68.63,True
"Pina PICIERNO",124846,6664,9746,68.38,True
"Andrzej DUDA",124899,568,831,68.35,False
"Boris ZALA",96656,6649,9746,68.22,True
"Ryszard Antoni LEGUTKO",96796,6646,9746,68.19,True
"Godelieve QUISTHOUDT-ROWOHL",1055,6618,9746,67.90,True
"Linnéa ENGSTRÖM",128588,6615,9746,67.87,True
"Helga TRÜPEL",28240,6608,9746,67.80,True
"Patricia LALONDE",188254,2936,4350,67.49,True
"Tamás MESZERICS",124720,6446,9746,66.14,True
"Elissavet VOZEMBERG-VRIONIDI",125065,6422,9746,65.89,True
"Mike HOOKEM",124957,6420,9746,65.87,True
"Alessia Maria MOSCA",124868,6419,9746,65.86,True
"Dame Glenis WILLMOTT",35743,3807,5784,65.82,False
"Daniel HANNAN",4555,6398,9746,65.65,True
"Béla KOVÁCS",102887,6396,9746,65.63,True
"Sergei STANISHEV",124852,6331,9746,64.96,True
"Maria SPYRAKI",125064,6301,9746,64.65,True
"Carolina PUNSET",90110,4659,7215,64.57,True
"Cláudia MONTEIRO DE AGUIAR",124734,6287,9746,64.51,True
"Kerstin WESTPHAL",96839,6273,9746,64.36,True
"Antanas GUOGA",124763,6271,9746,64.34,True
"Eleni THEOCHAROUS",25704,6211,9746,63.73,True
"Jiří MAŠTÁLKA",23704,6210,9746,63.72,True
"Alessandra MUSSOLINI",28429,6167,9746,63.28,True
"Eduard-Raul HELLVIG",37448,189,300,63.00,False
"Tamás DEUTSCH",96826,6072,9746,62.30,True
"Theodoros ZAGORAKIS",125067,6040,9746,61.97,True
"Urszula KRUPA",28334,6023,9746,61.80,True
"Lorenzo CESA",28451,6018,9746,61.75,True
"Nirj DEVA",4556,5943,9746,60.98,True
"Morten LØKKEGAARD",96709,5932,9746,60.87,True
"Barbara MATERA",96813,5883,9746,60.36,True
"Maurice PONGA",96931,5851,9746,60.03,True
"Manuel dos SANTOS",21918,5843,9746,59.95,True
"William (The Earl of) DARTMOUTH",96958,5803,9746,59.54,True
"Aldo PATRICIELLO",36392,5788,9746,59.39,True
"Renaud MUSELIER",124729,5663,9746,58.11,True
"Laima Liucija ANDRIKIENĖ",28276,5598,9746,57.44,True
"Nikolay BAREKOV",124871,5573,9746,57.18,True
"Timothy KIRKHOPE",4542,2265,3984,56.85,False
"Alessandra MORETTI",124799,137,249,55.02,False
"Igor GRÄZIN",193879,1149,2105,54.58,True
"Jaromír KOHLÍČEK",28331,5224,9746,53.60,True
"Damian DRĂGHICI",124786,5125,9746,52.59,True
"Annemie NEYTS-UYTTEBROECK",1946,106,203,52.22,False
"Krisztina MORVAI",96661,4792,9746,49.17,True
"José Ignacio SALAFRANCA SÁNCHEZ-NEYRA",2002,4591,9746,47.11,True
"Paul NUTTALL",96805,4356,9746,44.70,True
"Louise BOURS",124964,4209,9746,43.19,True
"Nigel FARAGE",4525,3842,9746,39.42,True
"Thomas HÄNDEL",96851,3729,9746,38.26,True
"Antonio TAJANI",2187,3619,9746,37.13,True
"Renato SORU",124860,3484,9746,35.75,True
"Thierry CORNILLET",4338,3354,9746,34.41,True
"Nadja HIRSCH",96872,3208,9746,32.92,True
