epid,mep,country,group,dossier,title,lobbyists,committees,location,role,date
124696,Andrus ANSIP,Estonia,RE,,Meeting with EuroCommerce,"Hendrik Jan van Oostrum (Ahold Delhaize), Constatin Gissler (amazon), Christian Verschueren (EuroCommerce), Patricia E.H Hoogstraaten Rae (Vakcentrum)",,Strasbourg,Member,17/7/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with DIGITALEUROPE,"Adele Naudy Chambaud (Schneider Electric), Larisa Pircalabelu (Ericsson), Matti Mannonen (Technology Industries of Finland), Ray Pinto (DIGITALEUROPE), Cecilia Bonefeld-Dahl (DIGITALEUROPE)",,Strasbourg,Member,16/7/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Europan Holiday Home Association,"Viktorija Molnar (EHHA), Georgina Browes (airbnb), Ana Perdigao (Expedia Group)",,Strasbourg,Member,16/7/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with European Broadcasting Union,"Nicola Frank, Vincent Sneed, Wouter Gekiere",,Strasbourg,Member,16/7/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Microsoft,"John Frank, Microsoft Vice-President",,Strasbourg,Member,3/7/2019
22858,Fabienne KELLER,France,RE,[''],Rapport Dublin III,Red Cross EU,['LIBE'],à distance,Member,5/6/2020
22858,Fabienne KELLER,France,RE,[''],Traçage Numérique,INRIA (Institut national de recherche en informatique et en automatique),['LIBE'],à distance,Member,22/4/2020
22858,Fabienne KELLER,France,RE,[''],Traçage Numérique,INRIA (Institut national de recherche en informatique et en automatique),['LIBE'],à distance (via zoom),Member,15/4/2020
22858,Fabienne KELLER,France,RE,,Séminaire sur la représentation du sport féminin dans les médias et l'impact sur les jeunes de quartier,Conseil National des Villes,,Paris,Member,5/3/2020
22858,Fabienne KELLER,France,RE,,Inter-connexion en Europe,Directrice Gares et Connexions,,Paris,Member,28/2/2020
22858,Fabienne KELLER,France,RE,,Rencontre en tant que co-présidente du Conseil National des Villes,le Défenseur des Droits,,Paris,Member,27/2/2020
22858,Fabienne KELLER,France,RE,,Présentation de l'Agence Eurojust,Eurojust et députés européens français,,Bruxelles,Member,20/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],Rapport de mis en oeuvre Dublin III + règlement Dublin IV,Représentation Permanente de la Belgique auprès de l'UE,['LIBE'],Bruxelles,Rapporteur,20/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],Rapport de mis en oeuvre Dublin III + règlement Dublin IV,Représentation permanente du Pays-bas auprès de l'UE,['LIBE'],Bruxelles,Rapporteur,20/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],Asile et Migration et Audition Dublin III,EASO,['LIBE'],Bruxelles,Rapporteur,19/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation permanente française,['LIBE'],Bruxelles,Rapporteur,18/2/2020
22858,Fabienne KELLER,France,RE,,Les priorités de la délégation Renaissance pour l'Europe,Petit Déjeuner avec le Président Macron,,Paris,Member,14/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Visite des zones d’accueil et d’attente des demandeurs d’asile de l’aéroport Roissy Charles de Gaulle et d’un centre de rétention, organisée par la RP France",Rencontre avec la Police de l'Air et des Frontières,['LIBE'],Paris,Rapporteur,14/2/2020
22858,Fabienne KELLER,France,RE,,Les priorités pour l’Europe,Réunion de rentrée de la Secrétaire d’État chargé des affaires européennes,,Paris,Member,13/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],La situation des migrants dans les camps,Rencontre avec le Barreau de France,['LIBE'],Strasbourg,Rapporteur,11/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Le rapport d’évaluation de Dublin III, le New Pact et Dublin IV",Rencontre avec la commissaire européenne aux affaires intérieures,['LIBE'],Strasbourg,Rapporteur,11/2/2020
22858,Fabienne KELLER,France,RE,[''],Réglement sur les contenus terroristes en ligne,Rencontre avec la Secrétaire d’État chargé des affaires européennes,['LIBE'],Strasbourg,Member,11/2/2020
