mep,epid,group,country,lobbyists,dossier,committees,role,title,location,date
Andrus ANSIP,124696,RE,Estonia,"Andreas Aktoudianakis, Mackenzie Nelson",,,Member,Meeting with European Policy Centre and Algorithm Watch,Brussels,09/06/2020
Andrus ANSIP,124696,RE,Estonia,"Peter Ekelund, Jan Nilsson",,,Member,Meeting with StreamAnalyze,Brussels,26/05/2020
Andrus ANSIP,124696,RE,Estonia,"Claire Dile, Ania Helseth",,,Member,Meeting with Facebook,Brussels,14/05/2020
Andrus ANSIP,124696,RE,Estonia,Joakim Reiter,,,Member,Meeting with Vodafone,Brussels,11/05/2020
Andrus ANSIP,124696,RE,Estonia,"Casper Klynge, Quang-Minh Lepescheux",,,Member,Meeting with Microsoft,Brussels,22/04/2020
Andrus ANSIP,124696,RE,Estonia,Jaymeen Patel,,,Member,Meeting wirh LVMH,Brussels,20/02/2020
Andrus ANSIP,124696,RE,Estonia,Rosario Parise,,,Member,Meeting with ACT,Brussels,19/02/2020
Andrus ANSIP,124696,RE,Estonia,"Carsten Hess, Antonia H. Garcia del Riego",,,Member,Meeting with Santander,Brussels,19/02/2020
Andrus ANSIP,124696,RE,Estonia,Megan Ridderhof,,,Member,Meeting with Onfido,Brussels,06/02/2020
Andrus ANSIP,124696,RE,Estonia,"Hendrik Hoppenstedt MP, Andrea M.Schneider, Ulrike Krumsee-Budde, Pia Wenningmann",,,Member,Meeting with the Federal Chancellery of Germany and the Permanent Representation of the Federal Republic of Germany to the European Union,Brussels,05/02/2020
Andrus ANSIP,124696,RE,Estonia,"Daniel D´Amato, Paul Astengo, Albert Isola MP, Paul Patron",,,Member,Meeting with the Government of Gibraltar,Brussels,05/02/2020
Andrus ANSIP,124696,RE,Estonia,Siim Kuresoo,,,Member,Meeting with Eesti Looduse Fond,Brussels,04/02/2020
Andrus ANSIP,124696,RE,Estonia,"Kazuo Kodama, Akihiko Sunami",,,Member,Meeting with the Ambassador of the Mission of Japan to the European Union,Brusssels,04/02/2020
Andrus ANSIP,124696,RE,Estonia,Iacob Gammeltoft,,,Member,Meeting with News Media Europe,Brussels,03/02/2020
Andrus ANSIP,124696,RE,Estonia,"Jeffrey He, Mathias van Malderghem-Nagy",,,Member,Meeting with Hikvision,Brussels,28/01/2020
Andrus ANSIP,124696,RE,Estonia,Cameron Kerry,,,Member,Meeting with The Brookings Institution,Brussels,28/01/2020
Andrus ANSIP,124696,RE,Estonia,John Higgins,,,Member,Meeting with BCS,Brussels,23/01/2020
Andrus ANSIP,124696,RE,Estonia,"Kati Ruohomäki, Karoliina Rasi, Petri Vuorio",,,Member,Meeting with Confederation of Finnish Industries EK,Strasbourg,18/12/2019
Andrus ANSIP,124696,RE,Estonia,"Neil McMillan, Christian Verschueren",,,Member,Meeting with EuroCommerce and Amazon,Strasbourg,17/12/2019
Andrus ANSIP,124696,RE,Estonia,"Liia Hänni, Jelizaveta Krenjova-Cepilova",,,Member,Meeting with e-riigi Akadeemia,Brussels,09/12/2019
Andrus ANSIP,124696,RE,Estonia,"Rene Summer, Larisa Pircalabelu",,,Member,Meeting with Ericsson,Brussels,09/12/2019
Andrus ANSIP,124696,RE,Estonia,"Christian Guttmann, Petja Piilola",,,Member,Meeting with Tieto Corporation and Public Affairs,Brussels,03/12/2019
Andrus ANSIP,124696,RE,Estonia,"Edward Haynes (AmCham EU), Aliki Foinikopoulou (Salesforce), Cate Nymann (Cisco), Claudia Selli (AT&T)",,,Member,Meeting with AmCham,Strasbourg,27/11/2019
Andrus ANSIP,124696,RE,Estonia,"Claire Broussaudier, Jean Paul Forceville",,,Member,Meeting with La Poste,Strasbourg,26/11/2019
Andrus ANSIP,124696,RE,Estonia,Kadri Kalle,,,Member,Meeting with Teeme Ära SA,Brussels,13/11/2019
Andrus ANSIP,124696,RE,Estonia,"Hannele Timonen, Isabella Paju",,,Member,Meeting with Ministry of Economic Affairs and Employment of Finland,Strasbourg,22/10/2019
Andrus ANSIP,124696,RE,Estonia,Petra Wikstrom,,,Member,Meeting with Schibsted,Brussels,01/10/2019
Andrus ANSIP,124696,RE,Estonia,Sabina Ciofu,,,Member,Meeting with TechUK,Brussels,01/10/2019
Andrus ANSIP,124696,RE,Estonia,"Tomas Jakimavicius, Maria Sotiriou",,,Member,Meeting with GSMA,Strasbourg,17/09/2019
Andrus ANSIP,124696,RE,Estonia,"Angel Labrusse, Helen Smith",,,Member,Meeting with IMPALA,Brussels,04/09/2019
Andrus ANSIP,124696,RE,Estonia,"Naomi Linder Kahn, Jenny Aharon, Meir Deutsch",,,Member,Meeting with Regavim,Brussels,04/09/2019
Andrus ANSIP,124696,RE,Estonia,"Joakim Reiter, Agnieszka Skorupinska",,,Member,Meeting with Vodafone,Brussels,04/09/2019
Andrus ANSIP,124696,RE,Estonia,"Annie Deadman, Innecenzo Genna, Dr. Maximilian Schubert, Alexandra Lafitte",,,Member,Meeting with EuroISPA,Brussels,22/07/2019
Andrus ANSIP,124696,RE,Estonia,"Lise Fuhr,, Alessandro Gropelli",,,Member,Meeting with European Telecommunications Network Operators' Association,Brussels,22/07/2019
Andrus ANSIP,124696,RE,Estonia,Cécile Despringre,,,Member,Society of Audiovisual Authors,Brussels,22/07/2019
Andrus ANSIP,124696,RE,Estonia,"Hendrik Jan van Oostrum (Ahold Delhaize), Constatin Gissler (amazon), Christian Verschueren (EuroCommerce), Patricia E.H Hoogstraaten Rae (Vakcentrum)",,,Member,Meeting with EuroCommerce,Strasbourg,17/07/2019
Andrus ANSIP,124696,RE,Estonia,"Adele Naudy Chambaud (Schneider Electric), Larisa Pircalabelu (Ericsson), Matti Mannonen (Technology Industries of Finland), Ray Pinto (DIGITALEUROPE), Cecilia Bonefeld-Dahl (DIGITALEUROPE)",,,Member,Meeting with DIGITALEUROPE,Strasbourg,16/07/2019
Andrus ANSIP,124696,RE,Estonia,"Viktorija Molnar (EHHA), Georgina Browes (airbnb), Ana Perdigao (Expedia Group)",,,Member,Meeting with Europan Holiday Home Association,Strasbourg,16/07/2019
Andrus ANSIP,124696,RE,Estonia,"Nicola Frank, Vincent Sneed, Wouter Gekiere",,,Member,Meeting with European Broadcasting Union,Strasbourg,16/07/2019
Andrus ANSIP,124696,RE,Estonia,"John Frank, Microsoft Vice-President",,,Member,Meeting with Microsoft,Strasbourg,03/07/2019
Andrus ANSIP,124696,RE,Estonia,Sandra Särav,,,Member,Meeting with BOLT,"Brussels, online",10/11/2020
Andrus ANSIP,124696,RE,Estonia,"Eda Aygen, Alexander Cook, Luigi Rebuffi",['Data strategy'],['IMCO'],Shadow rapporteur,Meeting with ECSO,"Brussels, online",10/11/2020
Fabienne KELLER,22858,RE,France,Red Cross EU,[''],['LIBE'],Member,Rapport Dublin III,à distance,05/06/2020
Fabienne KELLER,22858,RE,France,INRIA (Institut national de recherche en informatique et en automatique),[''],['LIBE'],Member,Traçage Numérique,à distance,22/04/2020
Fabienne KELLER,22858,RE,France,INRIA (Institut national de recherche en informatique et en automatique),[''],['LIBE'],Member,Traçage Numérique,à distance (via zoom),15/04/2020
Fabienne KELLER,22858,RE,France,Conseil National des Villes,,,Member,Séminaire sur la représentation du sport féminin dans les médias et l'impact sur les jeunes de quartier,Paris,05/03/2020
Fabienne KELLER,22858,RE,France,Directrice Gares et Connexions,,,Member,Inter-connexion en Europe,Paris,28/02/2020
Fabienne KELLER,22858,RE,France,le Défenseur des Droits,,,Member,Rencontre en tant que co-présidente du Conseil National des Villes,Paris,27/02/2020
Fabienne KELLER,22858,RE,France,Eurojust et députés européens français,,,Member,Présentation de l'Agence Eurojust,Bruxelles,20/02/2020
Fabienne KELLER,22858,RE,France,Représentation Permanente de la Belgique auprès de l'UE,['Dublin III'],['LIBE'],Rapporteur,Rapport de mis en oeuvre Dublin III + règlement Dublin IV,Bruxelles,20/02/2020
Fabienne KELLER,22858,RE,France,Représentation permanente du Pays-bas auprès de l'UE,['Dublin III'],['LIBE'],Rapporteur,Rapport de mis en oeuvre Dublin III + règlement Dublin IV,Bruxelles,20/02/2020
Fabienne KELLER,22858,RE,France,EASO,['Dublin III'],['LIBE'],Rapporteur,Asile et Migration et Audition Dublin III,Bruxelles,19/02/2020
