epid,mep,role,country,group,location,title,lobbyists,mep,dossier,committees,date
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Santander,"Carsten Hess, Antonia H. Garcia del Riego",Andrus ANSIP,,,19/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Onfido,Megan Ridderhof,Andrus ANSIP,,,06/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with the Federal Chancellery of Germany and the Permanent Representation of the Federal Republic of Germany to the European Union,"Hendrik Hoppenstedt MP, Andrea M.Schneider, Ulrike Krumsee-Budde, Pia Wenningmann",Andrus ANSIP,,,05/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with the Government of Gibraltar,"Daniel D´Amato, Paul Astengo, Albert Isola MP, Paul Patron",Andrus ANSIP,,,05/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Eesti Looduse Fond,Siim Kuresoo,Andrus ANSIP,,,04/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brusssels,Meeting with the Ambassador of the Mission of Japan to the European Union,"Kazuo Kodama, Akihiko Sunami",Andrus ANSIP,,,04/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with News Media Europe,Iacob Gammeltoft,Andrus ANSIP,,,03/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Hikvision,"Jeffrey He, Mathias van Malderghem-Nagy",Andrus ANSIP,,,28/01/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with The Brookings Institution,Cameron Kerry,Andrus ANSIP,,,28/01/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with BCS,John Higgins,Andrus ANSIP,,,23/01/2020
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with Confederation of Finnish Industries EK,"Kati Ruohomäki, Karoliina Rasi, Petri Vuorio",Andrus ANSIP,,,18/12/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with EuroCommerce and Amazon,"Neil McMillan, Christian Verschueren",Andrus ANSIP,,,17/12/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with e-riigi Akadeemia,"Liia Hänni, Jelizaveta Krenjova-Cepilova",Andrus ANSIP,,,09/12/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Ericsson,"Rene Summer, Larisa Pircalabelu",Andrus ANSIP,,,09/12/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Tieto Corporation and Public Affairs,"Christian Guttmann, Petja Piilola",Andrus ANSIP,,,03/12/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with AmCham,"Edward Haynes (AmCham EU), Aliki Foinikopoulou (Salesforce), Cate Nymann (Cisco), Claudia Selli (AT&T)",Andrus ANSIP,,,27/11/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with La Poste,"Claire Broussaudier, Jean Paul Forceville",Andrus ANSIP,,,26/11/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Teeme Ära SA,Kadri Kalle,Andrus ANSIP,,,13/11/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with Ministry of Economic Affairs and Employment of Finland,"Hannele Timonen, Isabella Paju",Andrus ANSIP,,,22/10/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Schibsted,Petra Wikstrom,Andrus ANSIP,,,01/10/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with TechUK,Sabina Ciofu,Andrus ANSIP,,,01/10/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with GSMA,"Tomas Jakimavicius, Maria Sotiriou",Andrus ANSIP,,,17/09/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with IMPALA,"Angel Labrusse, Helen Smith",Andrus ANSIP,,,04/09/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Regavim,"Naomi Linder Kahn, Jenny Aharon, Meir Deutsch",Andrus ANSIP,,,04/09/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Vodafone,"Joakim Reiter, Agnieszka Skorupinska",Andrus ANSIP,,,04/09/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with EuroISPA,"Annie Deadman, Innecenzo Genna, Dr. Maximilian Schubert, Alexandra Lafitte",Andrus ANSIP,,,22/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with European Telecommunications Network Operators' Association,"Lise Fuhr,, Alessandro Gropelli",Andrus ANSIP,,,22/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Society of Audiovisual Authors,Cécile Despringre,Andrus ANSIP,,,22/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with EuroCommerce,"Hendrik Jan van Oostrum (Ahold Delhaize), Constatin Gissler (amazon), Christian Verschueren (EuroCommerce), Patricia E.H Hoogstraaten Rae (Vakcentrum)",Andrus ANSIP,,,17/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with DIGITALEUROPE,"Adele Naudy Chambaud (Schneider Electric), Larisa Pircalabelu (Ericsson), Matti Mannonen (Technology Industries of Finland), Ray Pinto (DIGITALEUROPE), Cecilia Bonefeld-Dahl (DIGITALEUROPE)",Andrus ANSIP,,,16/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with Europan Holiday Home Association,"Viktorija Molnar (EHHA), Georgina Browes (airbnb), Ana Perdigao (Expedia Group)",Andrus ANSIP,,,16/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with European Broadcasting Union,"Nicola Frank, Vincent Sneed, Wouter Gekiere",Andrus ANSIP,,,16/07/2019
124696,Andrus ANSIP,Member,Estonia,RE,Strasbourg,Meeting with Microsoft,"John Frank, Microsoft Vice-President",Andrus ANSIP,,,03/07/2019
22858,Fabienne KELLER,Member,France,RE,à distance,Traçage Numérique,INRIA (Institut national de recherche en informatique et en automatique),Fabienne KELLER,[''],['LIBE'],22/04/2020
22858,Fabienne KELLER,Member,France,RE,à distance (via zoom),Traçage Numérique,INRIA (Institut national de recherche en informatique et en automatique),Fabienne KELLER,[''],['LIBE'],15/04/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Séminaire sur la représentation du sport féminin dans les médias et l'impact sur les jeunes de quartier,Conseil National des Villes,Fabienne KELLER,,,05/03/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Inter-connexion en Europe,Directrice Gares et Connexions,Fabienne KELLER,,,28/02/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Rencontre en tant que co-présidente du Conseil National des Villes,le Défenseur des Droits,Fabienne KELLER,,,27/02/2020
22858,Fabienne KELLER,Member,France,RE,Bruxelles,Présentation de l'Agence Eurojust,Eurojust et députés européens français,Fabienne KELLER,,,20/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,Rapport de mis en oeuvre Dublin III + règlement Dublin IV,Représentation Permanente de la Belgique auprès de l'UE,Fabienne KELLER,['Dublin III'],['LIBE'],20/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,Rapport de mis en oeuvre Dublin III + règlement Dublin IV,Représentation permanente du Pays-bas auprès de l'UE,Fabienne KELLER,['Dublin III'],['LIBE'],20/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,Asile et Migration et Audition Dublin III,EASO,Fabienne KELLER,['Dublin III'],['LIBE'],19/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation permanente française,Fabienne KELLER,['Dublin III'],['LIBE'],18/02/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Les priorités de la délégation Renaissance pour l'Europe,Petit Déjeuner avec le Président Macron,Fabienne KELLER,,,14/02/2020
